nb_comp,nb_trans,time
1,1,0.006615999999999997
1,2,0.0062450000000000006
1,3,0.0061169999999999974
1,4,0.006201999999999999
1,5,0.006225999999999995
1,6,0.006535000000000013
1,7,0.006412000000000001
1,8,0.006525000000000003
1,9,0.006672999999999998
1,10,0.006666000000000005
1,11,0.006703999999999988
1,12,0.0070270000000000055
1,13,0.006902000000000019
1,14,0.007105
1,15,0.0070300000000000085
1,16,0.007320999999999994
1,17,0.0071229999999999905
1,18,0.007558000000000009
1,19,0.007804000000000005
1,20,0.007855000000000001
1,21,0.007820999999999995
1,22,0.00777899999999998
1,23,0.007607000000000003
1,24,0.007422999999999985
1,25,0.008887000000000006
1,26,0.008023000000000002
1,27,0.00812400000000002
1,28,0.008431999999999995
1,29,0.008506999999999987
1,30,0.00840200000000002
1,31,0.00834600000000002
1,32,0.008250000000000035
1,33,0.008202000000000043
1,34,0.008116999999999985
1,35,0.008596999999999966
1,36,0.008496000000000004
1,37,0.008587999999999985
1,38,0.010350999999999999
1,39,0.009160999999999975
1,40,0.00914100000000001
1,41,0.00988300000000003
1,42,0.018336999999999992
1,43,0.009815999999999991
1,44,0.009645000000000015
1,45,0.010709999999999997
1,46,0.020813000000000026
1,47,0.014096000000000053
1,48,0.049034999999999995
1,49,0.03402700000000003
1,50,0.026614999999999944
1,51,0.011496000000000062
1,52,0.010738999999999943
1,53,0.010033999999999987
1,54,0.011010999999999993
1,55,0.023307999999999995
1,56,0.013148999999999966
1,57,0.010637999999999925
1,58,0.010446999999999984
1,59,0.011010999999999993
1,60,0.01088100000000003
1,61,0.011168999999999984
1,62,0.011209000000000024
1,63,0.011207999999999996
1,64,0.01319899999999996
1,65,0.011587999999999932
1,66,0.011878999999999973
1,67,0.011724999999999985
1,68,0.011083000000000065
1,69,0.011905999999999972
1,70,0.012041999999999997
1,71,0.014024999999999954
1,72,0.01236500000000007
1,73,0.012033000000000071
1,74,0.012315000000000076
1,75,0.012487000000000026
1,76,0.012723999999999958
1,77,0.013712999999999975
1,78,0.012772000000000006
1,79,0.012768000000000002
1,80,0.012572000000000028
1,81,0.012720999999999982
1,82,0.01315299999999997
1,83,0.015267999999999948
1,84,0.0133930000000001
1,85,0.012588000000000044
1,86,0.013179000000000052
1,87,0.012808000000000153
1,88,0.015019000000000116
1,89,0.017349999999999977
1,90,0.013446000000000069
1,91,0.01357699999999995
1,92,0.01386899999999991
1,93,0.014751999999999876
1,94,0.013709999999999889
1,95,0.014127999999999918
1,96,0.01427299999999998
1,97,0.014685000000000059
1,98,0.01538700000000004
1,99,0.014644000000000101
1,100,0.014583000000000013
2,1,0.00884700000000005
2,2,0.0064470000000000915
2,3,0.006672999999999929
2,4,0.0067509999999999515
2,5,0.0068749999999999645
2,6,0.006888999999999923
2,7,0.006938000000000111
2,8,0.007100999999999802
2,9,0.007524000000000086
2,10,0.007997000000000032
2,11,0.007664999999999811
2,12,0.009198999999999957
2,13,0.007948000000000066
2,14,0.008386000000000005
2,15,0.008441999999999839
2,16,0.008083000000000062
2,17,0.008736999999999995
2,18,0.009045999999999887
2,19,0.00925700000000007
2,20,0.010008000000000017
2,21,0.009816000000000047
2,22,0.009916999999999954
2,23,0.010038999999999909
2,24,0.010504999999999987
2,25,0.010416999999999899
2,26,0.005816000000000043
2,27,0.012982000000000049
2,28,0.013468000000000035
2,29,0.017012999999999945
2,30,0.018798000000000092
2,31,0.04399400000000009
2,32,0.02060200000000001
2,33,0.013855000000000173
2,34,0.012531999999999988
2,35,0.01133099999999998
2,36,0.01258300000000001
2,37,0.013214999999999977
2,38,0.01161600000000007
2,39,0.01213400000000009
2,40,0.01279600000000003
2,41,0.012593000000000076
2,42,0.013036999999999965
2,43,0.01484299999999994
2,44,0.01393600000000017
2,45,0.013897000000000048
2,46,0.014168999999999876
2,47,0.014275999999999955
2,48,0.016429000000000027
2,49,0.015161999999999898
2,50,0.01454500000000003
2,51,0.014064999999999994
2,52,0.017092000000000107
2,53,0.01458399999999993
2,54,0.015376000000000056
2,55,0.015295000000000059
2,56,0.014633000000000118
2,57,0.01693000000000011
2,58,0.015625
2,59,0.01603399999999988
2,60,0.017376999999999976
2,61,0.02414700000000014
2,62,0.016931999999999725
2,63,0.017243999999999815
2,64,0.018237999999999754
2,65,0.017779999999999685
2,66,0.016991000000000422
2,67,0.01825999999999972
2,68,0.019039999999999946
2,69,0.018076000000000203
2,70,0.018823000000000256
2,71,0.02048899999999998
2,72,0.017606999999999928
2,73,0.018124999999999947
2,74,0.020053999999999572
2,75,0.01894600000000013
2,76,0.01819399999999982
2,77,0.020310999999999968
2,78,0.017239000000000004
2,79,0.019143000000000132
2,80,0.020875999999999895
2,81,0.020843999999999863
2,82,0.02048400000000017
2,83,0.02249100000000004
2,84,0.020510999999999946
2,85,0.021106999999999765
2,86,0.022933000000000092
2,87,0.021214999999999762
2,88,0.021707000000000143
2,89,0.038500999999999674
2,90,0.020731000000000055
2,91,0.021821999999999786
2,92,0.021337999999999635
2,93,0.020474000000000103
2,94,0.035201999999999956
2,95,0.022262000000000004
2,96,0.023093000000000252
2,97,0.022456999999999727
2,98,0.02519500000000008
2,99,0.023255999999999943
2,100,0.022895999999999805
3,1,0.006485000000000074
3,2,0.0068769999999998
3,3,0.008925000000000072
3,4,0.00974800000000009
3,5,0.007798000000000194
3,6,0.015759999999999774
3,7,0.008455000000000101
3,8,0.008553999999999728
3,9,0.008853000000000222
3,10,0.008939999999999948
3,11,0.008847999999999967
3,12,0.009224000000000121
3,13,0.009541999999999717
3,14,0.009482999999999908
3,15,0.009751000000000065
3,16,0.009030000000000094
3,17,0.010374999999999801
3,18,0.010467999999999922
3,19,0.016367000000000242
3,20,0.011684999999999945
3,21,0.012164999999999981
3,22,0.011824999999999974
3,23,0.01231099999999996
3,24,0.01243699999999981
3,25,0.012910999999999895
3,26,0.012367999999999935
3,27,0.012198000000000153
3,28,0.01476999999999995
3,29,0.015986000000000278
3,30,0.013562999999999992
3,31,0.013635999999999981
3,32,0.014142999999999795
3,33,0.019419000000000075
3,34,0.015735999999999972
3,35,0.01515999999999984
3,36,0.014599000000000029
3,37,0.017641999999999936
3,38,0.015447999999999684
3,39,0.016048999999999758
3,40,0.01756599999999997
3,41,0.018938000000000343
3,42,0.017437000000000147
3,43,0.01747399999999999
3,44,0.019013999999999864
3,45,0.018294999999999728
3,46,0.018823000000000256
3,47,0.018708999999999865
3,48,0.026839999999999975
3,49,0.018518000000000256
3,50,0.021551000000000098
3,51,0.02103199999999994
3,52,0.01944100000000004
3,53,0.019702999999999804
3,54,0.021328000000000014
3,55,0.021322000000000063
3,56,0.02151100000000028
3,57,0.021005000000000162
3,58,0.020716999999999874
3,59,0.03515800000000002
3,60,0.07005399999999984
3,61,0.022956999999999894
3,62,0.022780000000000022
3,63,0.02073400000000003
3,64,0.023771999999999682
3,65,0.02395499999999995
3,66,0.024003999999999692
3,67,0.022050000000000125
3,68,0.025183999999999873
3,69,0.02623400000000009
3,70,0.02475300000000047
3,71,0.03338800000000042
3,72,0.028223000000000553
3,73,0.026837999999999695
3,74,0.026422000000000168
3,75,0.03490899999999986
3,76,0.030828999999999773
3,77,0.02765799999999974
3,78,0.030127000000000237
3,79,0.028131000000000128
3,80,0.028186999999999962
3,81,0.02721399999999985
3,82,0.025789000000000506
3,83,0.026199000000000083
3,84,0.027495000000000047
3,85,0.02848499999999987
3,86,0.035847000000000406
3,87,0.030694999999999695
3,88,0.030490999999999602
3,89,0.03047000000000022
3,90,0.0311009999999996
3,91,0.031638000000000055
3,92,0.03399399999999986
3,93,0.03110899999999983
3,94,0.030490999999999602
3,95,0.04361300000000057
3,96,0.03168599999999966
3,97,0.03712999999999944
3,98,0.0575789999999996
3,99,0.08314100000000035
3,100,0.03406500000000001
4,1,0.006885000000000474
4,2,0.007128999999999941
4,3,0.007792999999999495
4,4,0.007953999999999795
4,5,0.008515999999999302
4,6,0.008378999999999692
4,7,0.008891000000000204
4,8,0.009077999999999697
4,9,0.011372000000000604
4,10,0.010322999999999638
4,11,0.011633999999999922
4,12,0.014045999999999559
4,13,0.010815000000000019
4,14,0.01114000000000015
4,15,0.011158000000000001
4,16,0.01208000000000009
4,17,0.011838999999999267
4,18,0.011701999999999657
4,19,0.0128730000000008
4,20,0.012497999999999898
4,21,0.0131319999999997
4,22,0.015301000000000009
4,23,0.014279000000000153
4,24,0.014828000000000507
4,25,0.015818000000000332
4,26,0.02120700000000042
4,27,0.016213000000000477
4,28,0.018512000000000306
4,29,0.0174789999999998
4,30,0.01825499999999991
4,31,0.016370000000000218
4,32,0.01684899999999967
4,33,0.019560000000000244
4,34,0.02320100000000025
4,35,0.01886899999999958
4,36,0.0199549999999995
4,37,0.02212200000000042
4,38,0.01902700000000035
4,39,0.020604999999999762
4,40,0.02828399999999931
4,41,0.020156000000000063
4,42,0.02135399999999965
4,43,0.021139999999999937
4,44,0.02121700000000004
4,45,0.022554000000000407
4,46,0.022921999999999443
4,47,0.023289000000000115
4,48,0.02307900000000007
4,49,0.024350000000000094
4,50,0.024664999999999715
4,51,0.023557000000000272
4,52,0.025800000000000267
4,53,0.03899200000000036
4,54,0.022262000000000448
4,55,0.03414200000000012
4,56,0.02658199999999944
4,57,0.02428800000000031
4,58,0.02288800000000002
4,59,0.02213400000000032
4,60,0.025909000000000404
4,61,0.027970999999999968
4,62,0.03034600000000065
4,63,0.02658799999999939
4,64,0.04206500000000002
4,65,0.03283199999999997
4,66,0.031005000000000393
4,67,0.03015899999999938
4,68,0.02986000000000022
4,69,0.030907000000000018
4,70,0.03048300000000026
4,71,0.031314000000000064
4,72,0.031788999999999845
4,73,0.029898000000000202
4,74,0.03310899999999961
4,75,0.032853999999999495
4,76,0.033182000000000045
4,77,0.035021999999999665
4,78,0.03482800000000008
4,79,0.03316400000000019
4,80,0.0327459999999995
4,81,0.045255000000000045
4,82,0.03452900000000003
4,83,0.03598599999999941
4,84,0.03496200000000016
4,85,0.034411999999999665
4,86,0.03693200000000019
4,87,0.036408999999999914
4,88,0.039212000000000025
4,89,0.03862599999999983
4,90,0.034102999999999994
4,91,0.04983499999999985
4,92,0.11465499999999995
4,93,0.044638000000000844
4,94,0.038909999999999556
4,95,0.05443100000000012
4,96,0.04474900000000037
4,97,0.03928400000000032
4,98,0.042151999999999745
4,99,0.04095899999999997
4,100,0.046183000000000085
5,1,0.008436000000000554
5,2,0.007592999999999961
5,3,0.008138999999999896
5,4,0.00834299999999999
5,5,0.008820999999999302
5,6,0.00958900000000007
5,7,0.011218000000000394
5,8,0.010561000000000043
5,9,0.010001000000000815
5,10,0.010782999999999987
5,11,0.010911000000000115
5,12,0.012646000000000157
5,13,0.011997000000000035
5,14,0.01254800000000067
5,15,0.013113999999999848
5,16,0.013592000000000048
5,17,0.014019000000000226
5,18,0.016000000000000014
5,19,0.014045999999999559
5,20,0.013938999999999702
5,21,0.01513699999999929
5,22,0.01839700000000022
5,23,0.016331000000000095
5,24,0.017126999999999448
5,25,0.018502999999999936
5,26,0.01730699999999974
5,27,0.02024599999999932
5,28,0.018782999999999994
5,29,0.02006499999999889
5,30,0.01809899999999942
5,31,0.02181099999999958
5,32,0.030442999999999998
5,33,0.02054799999999979
5,34,0.022711000000001036
5,35,0.023759000000000086
5,36,0.02257299999999951
5,37,0.028724999999999667
5,38,0.029920999999999864
5,39,0.0361659999999997
5,40,0.06662399999999913
5,41,0.02739500000000028
5,42,0.025049000000000987
5,43,0.02320800000000034
5,44,0.02646000000000015
5,45,0.02180599999999977
5,46,0.024853999999999488
5,47,0.026798999999998685
5,48,0.0276569999999996
5,49,0.029473000000001193
5,50,0.02641799999999961
5,51,0.029332000000000136
5,52,0.029493999999999687
5,53,0.030209999999998516
5,54,0.030615000000000947
5,55,0.04081099999999971
5,56,0.031117999999999313
5,57,0.030098999999999876
5,58,0.031742999999998744
5,59,0.03245899999999935
5,60,0.03819200000000045
5,61,0.037997999999999976
5,62,0.035033999999999565
5,63,0.03276199999999996
5,64,0.035717
5,65,0.034222999999999004
5,66,0.03497899999999987
5,67,0.039998000000000644
5,68,0.03939299999999868
5,69,0.037693000000000865
5,70,0.05194999999999972
5,71,0.03774199999999972
5,72,0.03700300000000034
5,73,0.03772200000000048
5,74,0.03761199999999931
5,75,0.03547200000000039
5,76,0.03787499999999966
5,77,0.03886000000000145
5,78,0.03903500000000015
5,79,0.04039099999999962
5,80,0.04142700000000055
5,81,0.04144599999999876
5,82,0.04186599999999885
5,83,0.06250500000000159
5,84,0.05209799999999909
5,85,0.043542999999999665
5,86,0.03970499999999966
5,87,0.0406109999999984
5,88,0.04823099999999947
5,89,0.04992599999999925
5,90,0.05016200000000026
5,91,0.04829699999999981
5,92,0.04428099999999979
5,93,0.051002000000000436
5,94,0.06757099999999916
5,95,0.04760199999999948
5,96,0.047560999999999964
5,97,0.04931999999999981
5,98,0.048016999999999754
5,99,0.04831000000000074
5,100,0.06305899999999909
6,1,0.01318100000000122
6,2,0.016935000000000144
6,3,0.022078000000000486
6,4,0.023092999999999364
6,5,0.012364999999999071
6,6,0.012079999999999202
6,7,0.014146999999999466
6,8,0.010987999999999332
6,9,0.017542999999999864
6,10,0.011389000000001204
6,11,0.013028999999999513
6,12,0.017986999999999753
6,13,0.018560000000000798
6,14,0.01562799999999953
6,15,0.01454000000000022
6,16,0.014981999999999829
6,17,0.015707000000000804
6,18,0.018487000000000364
6,19,0.02150100000000066
6,20,0.017865999999999715
6,21,0.016922000000000992
6,22,0.029394999999999172
6,23,0.018511000000000166
6,24,0.018727999999999412
6,25,0.020491999999999067
6,26,0.020121000000001388
6,27,0.021630000000000038
6,28,0.02072800000000008
6,29,0.021756999999999138
6,30,0.023261999999999006
6,31,0.022364999999998858
6,32,0.0242609999999992
6,33,0.023324000000000567
6,34,0.02398400000000045
6,35,0.02444799999999958
6,36,0.026730999999999838
6,37,0.031393000000001337
6,38,0.029621000000000564
6,39,0.028086000000000055
6,40,0.030030999999999253
6,41,0.029316999999998927
6,42,0.028233999999999426
6,43,0.02711400000000097
6,44,0.031503999999999976
6,45,0.029427000000000092
6,46,0.04367099999999979
6,47,0.04253600000000013
6,48,0.04854599999999998
6,49,0.09490899999999947
6,50,0.08558500000000002
6,51,0.03400899999999929
6,52,0.035356000000000165
