nb_comp,time
2,0.0011230000000000129
3,0.002354999999999996
4,0.003133999999999998
5,0.0018849999999999978
6,0.002928000000000014
7,0.008798
8,0.011565999999999993
9,0.0016649999999999998
10,0.0014650000000000218
11,0.0023040000000000005
12,0.003018999999999994
13,0.003363000000000005
14,0.0023189999999999877
15,0.0028479999999999894
16,0.0034349999999999936
17,0.0010249999999999981
18,0.0010719999999999896
19,0.00204600000000002
20,0.0031019999999999937
21,0.006534000000000012
22,0.003482000000000013
23,0.0033159999999999856
24,0.0011879999999999669
25,0.001562999999999981
26,0.0019500000000000073
27,0.0011279999999999624
28,0.0010979999999999879
29,0.0011459999999999804
30,0.0013099999999999778
31,0.0012260000000000049
32,0.001910999999999996
33,0.0011660000000000004
34,0.0012099999999999889
35,0.0013190000000000146
36,0.0012560000000000349
37,0.0012889999999999846
38,0.0019790000000000085
39,0.0014680000000000248
40,0.0015140000000000153
41,0.0016289999999999916
42,0.0015909999999999536
43,0.001556999999999975
44,0.0021700000000000053
45,0.001597000000000015
46,0.001619000000000037
47,0.0016279999999999628
48,0.0024100000000000232
49,0.0016309999999999936
50,0.001941000000000026
51,0.0022039999999999837
52,0.0025080000000000102
53,0.0017599999999999838
54,0.0017920000000000158
55,0.0020219999999999683
56,0.002741000000000049
57,0.0021220000000000128
58,0.001998999999999973
59,0.0020979999999999888
60,0.002805000000000002
61,0.002031000000000005
62,0.002251000000000003
63,0.006181999999999965
64,0.002067000000000041
65,0.00209699999999996
66,0.002701999999999982
67,0.0021320000000000228
68,0.0021900000000000253
69,0.00303500000000001
70,0.002234999999999987
71,0.0023080000000000322
72,0.002892999999999979
73,0.002356999999999998
74,0.0029879999999999907
75,0.002780999999999978
76,0.002603000000000022
77,0.0032769999999999744
78,0.002615000000000034
79,0.0031769999999999854
80,0.002715999999999996
81,0.003593000000000013
82,0.0027389999999999914
83,0.002794999999999992
84,0.003788999999999987
85,0.003259999999999985
86,0.018011
87,0.004925999999999986
88,0.004025999999999974
89,0.0027650000000000174
90,0.007444000000000006
91,0.0027699999999999947
92,0.0027770000000000294
93,0.0022539999999999782
94,0.00298200000000004
95,0.002281000000000033
96,0.002933000000000019
97,0.0024160000000000292
98,0.0027890000000000414
99,0.002491000000000021
100,0.00340600000000002
101,0.0028650000000000064
102,0.0025200000000000222
103,0.003066000000000013
104,0.002483000000000013
105,0.013632000000000033
106,0.0031140000000000057
107,0.0027970000000000494
108,0.003198999999999952
109,0.0026890000000000525
110,0.0069710000000000605
111,0.003155000000000019
112,0.0026840000000000197
113,0.003217999999999943
114,0.0033210000000000184
115,0.003002999999999978
116,0.003735000000000044
117,0.0035010000000000874
118,0.002929999999999988
119,0.003379000000000021
120,0.0033890000000000864
121,0.0035490000000000244
122,0.0035490000000000244
123,0.0035199999999999676
124,0.003310999999999953
125,0.003705999999999987
126,0.009136000000000033
127,0.0029609999999999914
128,0.0034479999999998956
129,0.00367800000000007
130,0.003598000000000101
131,0.00315399999999999
132,0.003738000000000019
133,0.004132999999999942
134,0.003686000000000078
135,0.0032450000000000534
136,0.003811000000000009
137,0.004326000000000052
138,0.0037599999999999856
139,0.003706000000000098
140,0.0034119999999999706
141,0.009851999999999972
142,0.003915000000000002
143,0.0040999999999999925
144,0.004650999999999961
145,0.014705999999999997
146,0.008104999999999918
147,0.005383000000000027
148,0.004417000000000004
149,0.003993000000000024
150,0.004021000000000052
151,0.0046559999999999935
152,0.003989999999999938
153,0.003944000000000059
154,0.010562999999999989
155,0.003986999999999963
156,0.0040679999999999605
157,0.004450000000000065
158,0.0042119999999999935
159,0.004225999999999952
160,0.0042680000000000495
